Block,Pot,Species,Rhizobia,Herbicide,shootDM,rootDM,bgDM,shootN,bgN,pink_nodules,nonpink_nodules,ara,pink_nodule_mass,nonpink_nodule_mass
3,45,Herald,RRI128,NoHerbicide,0.3871,0.1671,0.18431,15.62783936,6.666666667,78,34,1.15755955,0.01621,0.001
3,46,Herald,RRI128,Herbicide,0.1062,0.1095,0.11056,5.45157187,5.104166667,9,11,0.05580575,0.00078,0.00028
3,47,FEH-1,RRI128,NoHerbicide,0.2313,0.1021,0.11024,9.540250772,4.0625,28,51,0.5226228,0.00581,0.00233
3,48,FEH-1,RRI128,Herbicide,0.2071,0.118,0.12359,10.53970562,4.739583333,33,27,0.52644725,0.00451,0.00108
3,49,Herald,washed,NoHerbicide,0.486,0.1631,0.18174,19.71651826,6.979166667,86,19,1.63101085,0.01807,0.00057
3,50,Herald,washed,Herbicide,0.0798,0.0841,0.08506,3.725240778,3.4375,10,2,0.11012855,0.00085,0.00011
3,51,FEH-1,washed,NoHerbicide,0.3356,0.1336,0.14574,13.9923678,5.15625,37,12,0.56422345,0.01172,0.00042
3,52,FEH-1,washed,Herbicide,0.1903,0.0907,0.09514,10.53970562,3.541666667,31,15,0.47337325,0.00405,0.00039
3,53,Herald,herb,NoHerbicide,0.4159,0.1092,0.12584,17.62674905,5.104166667,67,16,0.203892575,0.01625,0.00039
3,54,Herald,herb,Herbicide,0.138,0.0806,0.08269,5.178993276,4.010416667,15,0,0.05752285,0.00209,0
3,55,FEH-1,herb,NoHerbicide,0.2418,0.0921,0.10251,11.26658186,4.375,40,7,0.6901181,0.01006,0.00035
3,56,FEH-1,herb,Herbicide,0.1781,0.0959,0.10087,8.813374523,3.697916667,56,23,0.53206685,0.00397,0.001
3,57,Herald,O-N,NoHerbicide,0.4888,0.191,0.191,10.99400327,5.3125,0,0,*,0,0
3,58,Herald,O-N,Herbicide,0.1141,0.1135,0.1135,4.724695621,4.166666667,0,0,*,0,0
3,59,FEH-1,O-N,NoHerbicide,0.2548,0.147,0.147,7.087043431,3.802083333,0,0,*,0,0
3,60,FEH-1,O-N,Herbicide,0.1987,0.1303,0.1303,8.722514992,3.75,0,0,*,0,0
4,61,Herald,O+N,NoHerbicide,0.6714,0.2722,0.2722,29.59192866,10.46875,0,0,*,0,0
4,62,Herald,O+N,Herbicide,0.1661,0.1288,0.1288,9.085953116,6.770833333,0,0,*,0,0
4,63,FEH-1,O+N,NoHerbicide,0.4038,0.1454,0.1454,21.26113029,6.458333333,0,0,*,0,0
4,64,FEH-1,O+N,Herbicide,0.2564,0.0649,0.0649,16.35471561,3.385416667,0,0,*,0,0
4,65,Herald,RRI128,NoHerbicide,0.4196,0.1607,0.18257,17.99018717,6.614583333,128,126,0.80649065,0.01737,0.0045
4,66,Herald,RRI128,Herbicide,0.1475,0.1537,0.15695,6.814464837,7.03125,6,56,0.1768613,0.00107,0.00218
4,67,FEH-1,RRI128,NoHerbicide,0.3261,0.138,0.1633,14.81010358,5.78125,139,51,1.331533,0.0173,0.008
4,68,FEH-1,RRI128,Herbicide,0.2331,0.1086,0.11585,11.90259858,4.270833333,71,37,0.38798655,0.00614,0.00111
4,69,Herald,washed,NoHerbicide,0.5216,0.172,0.19588,20.9885517,7.552083333,230,110,1.7845352,0.02143,0.00245
4,70,Herald,washed,Herbicide,0.1603,0.1501,0.15413,6.26930765,5.989583333,10,69,0.2979949,0.00181,0.00222
4,71,FEH-1,washed,NoHerbicide,0.4926,0.1739,0.19887,21.26113029,7.291666667,130,75,1.8769464,0.02287,0.0021
4,72,FEH-1,washed,Herbicide,0.2937,0.1166,0.12627,14.44666546,4.84375,82,53,1.00255225,0.0085,0.00117
4,73,Herald,herb,NoHerbicide,0.412,0.1232,0.13921,18.80792295,5.833333333,114,103,2.3716273,0.0146,0.00141
4,74,Herald,herb,Herbicide,0.1627,0.1342,0.14095,6.087588588,5.677083333,32,145,0.3735473,0.00311,0.00364
4,75,FEH-1,herb,NoHerbicide,0.289,0.1267,0.14247,12.44775577,4.895833333,105,66,1.22874115,0.0135,0.00227
4,76,FEH-1,herb,Herbicide,0.2853,0.1191,0.1259,14.99182264,5.208333333,54,62,0.7140014,0.00481,0.00199
4,77,Herald,O-N,NoHerbicide,0.4197,0.2393,0.2393,7.995638743,6.145833333,0,0,*,0,0
4,78,Herald,O-N,Herbicide,0.1313,0.1485,0.1485,4.906414683,4.635416667,0,0,*,0,0
4,79,FEH-1,O-N,NoHerbicide,0.2745,0.1407,0.1407,6.541886244,4.0625,0,0,*,0,0
4,80,FEH-1,O-N,Herbicide,0.3359,0.1854,0.1854,13.71978921,5.416666667,0,0,*,0,0
5,81,Herald,O+N,NoHerbicide,0.6192,0.2163,0.2163,26.07873165,8.177083333,0,0,0,0,0
5,82,Herald,O+N,Herbicide,0.1119,0.0861,0.0861,8.268217336,5,0,0,0,0,0
5,83,FEH-1,O+N,NoHerbicide,0.5067,0.1512,0.1512,26.07873165,6.822916667,0,0,0,0,0
5,84,FEH-1,O+N,Herbicide,0.2659,0.0832,0.0832,18.0810467,3.854166667,0,0,0,0,0
5,85,Herald,RRI128,NoHerbicide,0.4255,0.1752,0.19533,19.80737779,7.03125,70,10,1.6120447,0.01937,0.00076
5,86,Herald,RRI128,Herbicide,0.1337,0.146,0.14821,5.633290932,5.208333333,18,28,0.00532223,0.0013,0.00091
5,87,FEH-1,RRI128,NoHerbicide,0.3167,0.1739,0.19008,14.08322733,5.9375,71,44,1.37703615,0.01513,0.00105
5,88,FEH-1,RRI128,Herbicide,0.2162,0.1488,0.15216,11.72087952,5.3125,41,5,0.2753604,0.00329,0.00007
5,89,Herald,washed,NoHerbicide,0.4917,0.2039,0.22707,18.3536253,6.927083333,43,6,0.669469973,0.02286,0.00031
5,90,Herald,washed,Herbicide,0.1159,0.1037,0.10453,4.906414683,4.947916667,0,15,0,0,0.00083
5,91,FEH-1,washed,NoHerbicide,0.3386,0.1498,0.17709,13.9923678,6.041666667,19,4,0.847623,0.02643,0.00086
5,92,FEH-1,washed,Herbicide,0.1839,0.1225,0.13019,8.904234054,4.635416667,47,2,0.59700445,0.00766,0.00003
5,93,Herald,herb,NoHerbicide,0.3495,0.1571,0.17397,16.17299655,6.458333333,79,34,1.34347465,0.01468,0.00219
5,94,Herald,herb,Herbicide,0.1119,0.122,0.12406,4.452117027,6.197916667,10,7,0.00535423,0.00169,0.00037
5,95,FEH-1,herb,NoHerbicide,0.342,0.1854,0.20219,10.81228421,6.25,84,74,1.4022463,0.01451,0.00228
5,96,FEH-1,herb,Herbicide,0.191,0.1023,0.10591,8.631655461,3.75,39,26,0.15524145,0.00301,0.0006
5,97,Herald,O-N,NoHerbicide,0.4342,0.2116,0.2116,8.540795929,5.78125,0,0,0,0,0
5,98,Herald,O-N,Herbicide,0.1423,0.1395,0.1395,3.725240778,4.6875,0,0,0,0,0
5,99,FEH-1,O-N,NoHerbicide,0.2119,0.0888,0.0888,6.632745775,2.708333333,0,0,0,0,0
5,100,FEH-1,O-N,Herbicide,0.1969,0.1313,0.1313,5.360712339,3.541666667,0,0,0,0,0
