sample,trt,block,pot,days,no3,nh4,faa,tdn,doc,din,don,doc_don,don_din
15NSS_270,I,6,72,21,300.5,0.22,0.24,333.65,192.95,300.72,32.92999999999995,5.8593987245672725,0.10950385740888517
15NSS_271,J,1,12,21,310.06,0.14,0.168,316.15,179.9,310.2,5.949999999999989,30.23529411764712,0.01918117343649255
15NSS_272,J,2,18,21,80.36,0.14,0.077,70.07,82.12,80.5,0,NA,0
15NSS_273,J,3,36,21,234.53,0.14,0.136,222.53,136.94,234.67,0,NA,0
15NSS_274,J,4,46,21,34.85,0.14,0.077,36.81,81.82,34.99,1.8200000000000003,44.95604395604394,0.052014861388968284
15NSS_275,J,5,60,21,149.66,0.14,0.158,144.25,190,149.79999999999998,0,NA,0
15NSS_276,J,6,69,21,136.4,0.14,0.095,124.35,92.73,136.54,0,NA,0
15NSS_277,K,1,5,21,38.15,0.14,0.089,39.37,95.21,38.29,1.0799999999999983,88.15740740740755,0.028205797858448636
15NSS_278,K,2,21,21,192.65,0.14,0.127,175.97,150.55,192.79,0,NA,0
15NSS_279,K,3,33,21,247.78,0.15,0.115,226.11,131.59,247.93,0,NA,0
15NSS_280,K,4,37,21,121.72,0.14,0.118,109.97,120.24,121.86,0,NA,0
15NSS_281,K,5,52,21,139.63,0.14,0.133,133,160.53,139.76999999999998,0,NA,0
15NSS_282,K,6,66,21,172.22,0.14,0.124,172.35,130.07,172.35999999999999,0,NA,0
15NSS_283,L,1,4,21,72.51,0.14,0.171,74.67,159.44,72.65,2.019999999999996,78.93069306930708,0.027804542326221555
15NSS_284,L,2,16,21,131.71,0.15,0.094,121.23,101.85,131.86,0,NA,0
15NSS_285,L,3,34,21,15.79,0.14,0.08,21.15,121.06,15.93,5.219999999999999,23.19157088122606,0.32768361581920896
15NSS_286,L,4,45,21,60.96,0.14,0.081,62.39,97.64,61.1,1.2899999999999991,75.68992248062021,0.021112929623567908
15NSS_287,L,5,49,21,44.75,0.14,0.066,16.83,68.75,44.89,0,NA,0
15NSS_288,L,6,67,21,107.4,0.14,0.102,103.59,112.38,107.54,0,NA,0
15NSS_289,A,1,11,28,26.6,0.12,0.138,30.94,178.11,26.720000000000002,4.219999999999999,42.20616113744077,0.1579341317365269
15NSS_290,A,2,24,28,8.38,0.12,0.093,7.59,112.81,8.5,0,NA,0
15NSS_291,A,3,30,28,1.62,0.11,0.146,6.29,187.82,1.7300000000000002,4.56,41.188596491228076,2.635838150289017
15NSS_292,A,4,42,28,24.94,0.11,0.083,29.63,87.01,25.05,4.579999999999998,18.997816593886473,0.18283433133732527
15NSS_293,A,5,53,28,0.65,0.12,0.119,11.98,153.02,0.77,11.21,13.650312221231044,14.55844155844156
15NSS_294,A,6,68,28,29.08,0.12,0.105,35.97,100.62,29.2,6.77,14.862629246676516,0.23184931506849313
15NSS_295,B,1,9,28,86.27,0.11,0.149,86.72,190.46,86.38,0.3400000000000034,560.1764705882297,0.003936096318592306
15NSS_296,B,2,13,28,22.52,0.11,0.125,22.72,132.22,22.63,0.08999999999999986,1469.1111111111134,0.003977021652673436
15NSS_297,B,3,28,28,41.92,0.11,0.104,43.48,112.81,42.03,1.4499999999999957,77.80000000000022,0.03449916726147979
15NSS_298,B,4,38,28,5.48,0.11,0.132,11.91,161.94,5.590000000000001,6.319999999999999,25.62341772151899,1.130590339892665
15NSS_299,B,5,58,28,1.76,0.11,0.199,16.05,187.58,1.87,14.18,13.22849083215797,7.582887700534759
15NSS_300,B,6,70,28,34.33,0.12,0.129,49.54,127.19,34.449999999999996,15.090000000000003,8.428760768721006,0.4380261248185778
15NSS_301,C,1,10,28,22.74,0.11,0.155,26.61,188.7,22.849999999999998,3.7600000000000016,50.18617021276594,0.16455142231947492
15NSS_302,C,2,15,28,46.75,0.11,0.119,47.37,131.34,46.86,0.509999999999998,257.5294117647069,0.010883482714468588
15NSS_303,C,3,32,28,29.64,0.11,0.099,27.48,104.87,29.75,0,NA,0
15NSS_304,C,4,40,28,15.14,0.11,0.171,30.08,194.97,15.25,14.829999999999998,13.146999325691167,0.9724590163934426
15NSS_305,C,5,55,28,2.72,0.11,0.101,10.17,93.52,2.83,7.34,12.741144414168938,2.5936395759717312
15NSS_306,C,6,64,28,14.04,0.11,0.09,20.58,95.58,14.149999999999999,6.43,14.864696734059098,0.4544169611307421
15NSS_307,D,1,6,28,28.81,0.11,0.083,27.91,88.99,28.919999999999998,0,NA,0
15NSS_308,D,2,22,28,92,0.11,0.141,94.51,194.55,92.11,2.4000000000000057,81.06249999999982,0.026055802844425206
15NSS_309,D,3,26,28,47.58,0.12,0.115,51.26,121.64,47.699999999999996,3.5600000000000023,34.16853932584267,0.07463312368972752
15NSS_310,D,4,43,28,18.87,0.12,0.093,23.3,94.81,18.990000000000002,4.309999999999999,21.997679814385158,0.22696155871511312
15NSS_311,D,5,56,28,186.9,0.11,0.163,193.45,133.66,187.01000000000002,6.439999999999969,20.754658385093265,0.03443666114111528
15NSS_312,D,6,62,28,19.15,0.11,0.092,27.37,85.51,19.259999999999998,8.110000000000003,10.543773119605422,0.42107995846313623
15NSS_313,E,1,2,28,94.86,0.11,0.143,94.08,161.34,94.97,0,NA,0
15NSS_314,E,2,17,28,24.25,0.12,0.165,31.8,196.38,24.37,7.43,26.430686406460296,0.30488305293393514
15NSS_315,E,3,35,28,0.52,0.11,0.117,7.59,139.42,0.63,6.96,20.031609195402297,11.047619047619047
15NSS_316,E,4,41,28,2.17,0.12,0.162,17.41,223.83,2.29,15.120000000000001,14.803571428571429,6.602620087336245
