plot,seedlot,dbh
1,SO,30.38
2,SO,27.91
3,SO,28.06
4,SO,31.42
5,SO,30.11
6,SO,31.52
7,SO,31.72
8,SO,33.53
9,P,28.16
10,P,25.62
11,P,26.61
12,P,32.59
13,P,28.8
14,P,28.19
15,P,31.23
16,P,28.34
