Pot,Ca_conc,Root_length
1,20,49
2,1,58
3,5,80
4,10,49
5,20,70
6,1,52
7,20,72
8,1,74
9,10,70
10,5,68
11,1,58
12,10,72
13,1,79
14,20,74
15,10,74
16,5,72
17,20,71
18,10,85
19,5,74
20,5,85
