IDx	Year	IgATot	IgAKLH	IgMKLH	IgATc	IgGTc	ANAnc	Weight	FEC	Age	SURV
80	1998	2.0431	0.1764	1.2120	0.9618	0.5691	0.2095	19.8	200	3	0
81	2004	1.8384	0.4184	0.7021	1.2763	1.1419	0.273	22.6	100	9	0
82	1998	2.2863	0.2659	1.6731	1.3427	1.2927	0.24	24.9	300	3	1
83	2001	1.6755	0.3549	1.1101	0.9601	1.1734	0.182	22.4	0	6	1
84	2004	1.8155	0.4106	0.5813	1.6965	0.9070	0.1225	20.8	NA	9	0
85	2004	1.1536	0.0391	0.5574	0.4446	0.8854	0.399	24.35	100	9	0
86	1998	1.9793	0.1543	1.2379	0.6479	1.5234	0.156	19.6	0	3	1
87	2001	1.8090	0.4693	0.8275	1.5465	1.0935	0.1035	20.9	NA	6	0
88	1998	2.1744	0.3238	1.2050	1.4916	0.9982	0.699	21.8	600	3	1
89	2001	1.2346	0.0683	0.5528	0.4671	1.2417	0.126	22.5	0	6	0
90	2001	0.8494	0.0200	0.7173	0.4671	1.0641	0.0245	18.4	100	5	0
91	2004	1.7460	0.1088	0.7360	1.1851	0.9970	0.188	24.75	0	8	1
92	2004	1.8500	0.4829	0.8420	1.1315	1.3921	0	22.2	0	8	1
93	2001	1.0801	0.0835	0.7633	0.6432	1.2362	0.1885	25.3	100	5	1
94	2004	0.7082	0.0116	1.0649	0.4598	1.0438	0.251	21.9	0	8	0
95	1998	1.0425	0.0350	1.0522	0.3541	0.8254	0.9175	19.4	100	2	1
96	2001	1.2251	0.0287	0.5705	0.8033	1.3695	0.187	22.4	0	5	0
97	2001	0.9568	0.0275	0.9158	0.4363	0.6886	0.65	20.7	0	5	0
98	2001	1.6410	0.1776	0.8095	0.6092	1.5957	0.0445	20.3	100	5	1
99	2004	2.0070	0.3697	1.0656	1.8151	1.3492	0.3765	25.5	200	8	1
100	1998	1.8740	0.0702	1.0742	0.4530	1.5097	0.2515	24.1	300	2	1
101	1998	1.9985	0.1477	1.1813	0.5809	1.3026	0.355	18.6	100	2	1
102	2004	1.4788	0.0841	0.6859	0.8618	1.4453	0.272	19.45	0	8	0
103	2004	1.7598	0.4258	1.3392	1.2589	1.3751	0.62	20.7	400	8	1
104	1998	2.1475	0.1193	0.7369	0.5420	1.1872	0.393	18	600	2	1
105	1998	1.2395	0.0508	0.7364	0.3208	1.1311	0.298	20.3	0	2	0
106	2004	1.4935	0.1269	1.4376	0.5340	1.8407	0.276	21.35	0	8	0
107	1998	1.2095	0.0563	0.9702	0.6301	1.3859	0.5215	18.7	NA	2	1
108	2001	1.7865	0.2057	0.7897	0.9846	1.2132	0.393	19.7	NA	5	1
109	2001	1.3584	0.1244	0.7082	0.6011	1.0610	0.0045	22.8	0	4	1
110	2001	1.6258	0.1137	0.7258	0.6409	1.4644	0.0365	25.2	0	4	1
111	2004	1.7419	0.3292	0.6346	1.0460	1.3127	0.419	24.55	0	7	1
112	2004	0.8973	0.2130	0.9704	0.3722	0.7633	0.151	19.3	0	7	1
113	2001	0.9267	0.0475	0.8308	0.3071	1.0236	0.539	20	500	4	1
114	2001	1.6036	0.4265	0.7546	1.5718	1.2117	0.088	19.8	0	4	1
115	2001	1.2963	0.0691	0.8230	0.3156	0.9676	0.0655	23.3	200	4	1
116	2004	1.7155	0.2977	1.0520	1.1212	1.6199	0.4685	21	100	7	1
117	2001	1.6260	0.1451	1.0976	0.8580	1.1241	0.7915	21.6	200	4	1
118	2004	1.3804	0.3095	0.4799	0.7345	1.2708	0.144	24.4	0	7	1
119	2001	1.9213	0.2797	0.9057	1.0107	0.8870	0.2035	22.1	100	3	0
120	2001	1.1141	0.0813	1.1213	0.3288	0.8030	0.2135	21.4	400	3	0
121	2004	1.4915	0.2230	1.0720	0.7495	1.1808	0.137	23.45	0	6	1
122	2004	1.4042	0.1889	0.9602	0.7306	1.4101	0.237	20.2	0	6	1
123	2004	1.4999	0.1028	0.7084	0.7374	1.5814	0.4855	19.35	100	6	1
124	2004	0.7699	0.0821	0.8318	0.4657	1.2274	0.275	25.2	NA	7	1
125	2001	1.7609	0.2196	1.0665	1.4376	1.3730	0	21.2	100	2	0
126	2004	1.1947	0.1101	0.4376	0.7145	0.9453	0.212	24.6	0	5	1
127	2001	1.2553	0.1177	0.8019	0.9897	1.1829	0.007	20.2	100	2	1
128	2001	0.7398	0.0526	0.7417	0.3232	0.9254	0.121	18.4	100	2	0
129	2001	1.1696	0.2464	0.7997	0.5749	1.3375	0.5225	17.9	100	2	1
130	2001	1.1091	0.1304	1.2494	0.7443	1.2780	0.0865	21	100	2	1
131	2004	0.9558	0.0884	0.6746	0.8404	1.4301	0.178	20.45	300	5	0
132	2001	1.3481	0.1382	1.4862	0.6588	1.4725	0.0815	20.3	0	2	0
133	2004	1.5824	0.2167	0.8351	1.2693	1.5150	0.2535	26.8	200	5	1
