Site	SiteName	Latitude	Longitude	Carbon1m	Nitrogen1m	Clay	EM	NetPrimProduction	Temperature	Precipitation	Biome
58	07CA630SMM045	38.432201	-120.427002	27.37039999	1.83103597	15.76849317	1	590.3	12.51	1300	temperateforest
59	08CA600179	40.442299	-123.987999	42.91960101	1.35821002	9.819791615	0	1105.2	12.28	1468	temperateforest
60	08CA6011077	40.3521	-123.925003	36.23009128	1.29403805	18.60309269	0	1124.8	11.93	1632	temperateforest
61	08CA630BJM001	37.9333	-120.344002	6.63793014	0.52146201	16.62899984	0	581.5	14.53	793	grassland
62	09CA630CKS001	37.928299	-120.574997	5.71847997	0.42029999	21.48923049	1	539.3	15.42	603	temperateforest
63	09FL069001	28.8752	-81.634598	2.43020007	0.17748001	0.406000003	1	830.3	21.33	1242	tropicalforest
64	300W	39.4725	-121.439003	3.86436005	0.328002	16.13599976	1	660.1	15.42	1046	temperateforest
65	399GYCB539	-26.11506653	152.6843872	13.98000021	1.890749981	47.82	1	1587.6	20.31666667	1187	tropicalforest
66	551X	39.598499	-121.541	17.29456026	1.86521298	33.63300005	0	572.8	15.21	1183	grassland
67	61WI119001	45.132198	-90.779198	23.45791081	1.74227209	15.60200019	0	478.6	5.18	816	temperateforest
68	64_CA_08_003	41.74	-123.96	48.67364	2.468671	25.89738	0	1068	10.80833333	1982	temperateforest
69	64_CA_08_023X	41.74	-123.96	39.558344	2.0217954	31.75192	0	1068	10.80833333	1982	temperateforest
70	91OK109001	35.572498	-97.490303	15.90338987	1.26990102	38.4789994	0	321.3	15.68	841	grassland
71	92CO628005	37.4972	-103.412003	10.64778023	0.87030603	20.86800012	0	253.4	11.36	356	grassland
72	93PR119011	18.3258	-65.814796	12.63884966	1.38177095	58.0460004	0	1443.7	21.29	2958	tropicalforest
73	95WA047001	48.631699	-120.671997	26.02300075	0.97750402	2.803225817	1	346.7	1.83	860	boreal
74	95WA047007	48.523102	-120.660004	16.28464019	0.57398801	3.242857145	1	367.4	0.88	918	temperateforest
75	95WA047008	48.584999	-120.807999	16.36252075	0.63386802	2.445454514	1	628.7	3.05	965	temperateforest
76	96MT093012	46.0383	-112.658997	6.37248996	0.917713	14.95899978	0	399.4	4.43	312	grassland
77	97CA043001	37.707199	-119.755997	19.04381029	0.59316702	7.536000113	1	374.4	12.51	915	temperateforest
78	97CA043003	37.854099	-119.432999	47.52546071	1.33977896	2.186999981	1	140.5	2.98	743	temperateforest
79	97CA043004	37.744701	-119.775002	31.21213988	1.276498	9.704000072	1	557.8	9.37	1009	temperateforest
80	97CA043008	37.615799	-119.681999	29.19981047	0.76338301	4.49400003	1	510.3	9.53	1006	temperateforest
81	97CA043011	37.5075	-119.613998	8.31758022	0.182082	6.56499989	1	570.6	8.88	993	temperateforest
82	97CA043014	37.583599	-119.677002	16.32093023	0.271542	4.882353011	1	534.6	9.53	1006	temperateforest
83	97CA043016	37.729198	-119.749001	12.5156597	0.26922	6.940000191	1	405.5	9.17	976	temperateforest
84	97CA043018	37.548901	-119.678001	20.69673984	0.498016	8.041000113	1	609.8	10.57	1012	temperateforest
85	97CA109017	37.865501	-119.350998	26.26505985	0.14535901	2.950000026	1	447.4	2.16	726	boreal
86	98_JFD_04	43.224998	-121.637001	23.54401998	2.73759408	11.05800012	0	546.7	4.82	705	grassland
87	98AK201002	55.701302	-132.628998	72.50780111	3.30263193	5.07162156	1	518.9	6.88	2771	temperateforest
88	98AK201003	55.701302	-132.628998	92.08602032	3.11729705	3.930555466	1	518.9	6.88	2771	temperateforest
89	98AK201004	55.709999	-132.621002	110.557759	2.199546	3.735185164	1	590.7	6	2692	temperateforest
90	98AK280001	56.301102	-132.209	191.2268534	6.94774019	6.900000191	1	449.6	5.69	2209	temperateforest
91	98AK280004	56.302101	-132.205994	51.85436963	0.662641	0.565116295	1	449.6	4.56	2126	temperateforest
92	99_JFD_02	43.008099	-121.542	6.33923985	1.18324495	5.447872502	1	612.7	6.36	499	temperateforest
93	99CO071004	37.171902	-105.088997	7.15133025	0.56566402	7.174999762	1	601.4	1.73	594	temperateforest
94	99CO071005	37.174999	-105.072998	10.61972989	0.61463501	9.297826031	1	612.9	3.35	503	temperateforest
95	Canada162	46.52	-67.3	12.300015	0.924893	17.80874317	0	594.9	3.491666667	1071	temperateforest
96	Canada241	45.8	-74.33	14.0601035	0.693572	3.445595855	0	690.3	4.166666667	1039	temperateforest
97	Canada918	49.67	-95.67	4.314308	0.392564	21.06060606	0	543.1	2.083333333	538	temperateforest
98	JPSROAK1	10.83	-85.32389	9.900650463	0.77776358	14.24878553	1	623.3	18.225	3100	tropicalforest
99	JPSROAK2	10.83	-85.32389	8.944084937	0.722775337	22.29606182	1	623.3	18.225	3100	tropicalforest
100	JPSROAK3	10.83	-85.32389	7.915767236	0.665176474	25.36563175	1	623.3	18.225	3100	tropicalforest
101	JPSROAK4	10.83	-85.32389	6.442059241	0.562937235	34.52868258	1	623.3	18.225	3100	tropicalforest
102	JPSROAK5	10.83	-85.32389	1.304040048	0.155629779	37.0079539	1	623.3	18.225	3100	tropicalforest
103	JPSROAK6	10.83	-85.32389	3.576729134	0.262332343	15.4739168	1	623.3	18.225	3100	tropicalforest
104	MattV198	43.951	-71.734	8.67420807	0.423056811	13.10757381	0	780.1	4.675	1179	temperateforest
105	MattV226	43.951	-71.734	12.36582832	0.670029694	16.13760526	0	780.1	4.675	1179	temperateforest
106	MattV241	43.951	-71.734	24.24749527	1.175582473	12.30960161	0	780.1	4.675	1179	temperateforest
107	MattV274	43.951	-71.734	17.30066868	0.813668703	17.35571876	0	780.1	4.675	1179	temperateforest
108	MattV284	43.951	-71.734	18.08610966	0.897759286	12.21121695	0	780.1	4.675	1179	temperateforest
109	MattV332	43.951	-71.734	13.75831826	0.64442574	13.71437489	0	780.1	4.675	1179	temperateforest
110	ORNL1	35.9	-84.333333	7.27	0.7815	25.84373961	0	775.6	13.86666667	1363	temperateforest
111	T1	-1.717639	-51.46	7.3515	0.58286	21.9	0	784.6	26.76666667	2198	tropicalforest
112	T10	10.433333	-83.983333	13.4114	1.131885	77.55	0	987.2	26.05	3997	tropicalforest
113	T11	10.433333	-83.983333	16.5042	1.35732	77.55	1	987.2	26.05	3997	tropicalforest
114	T12	10.433333	-83.983333	18.514	1.59356	77.55	0	987.2	26.05	3997	tropicalforest
115	T13	10.433333	-83.983333	16.96775	1.44662	77.55	0	987.2	26.05	3997	tropicalforest
116	T14	10.433333	-83.983333	18.2969	1.560855	77.55	0	987.2	26.05	3997	tropicalforest
117	T2	-1.717639	-51.46	9.0006	0.81504	54.2	0	784.6	26.76666667	2198	tropicalforest
118	T3	10.166667	-83.616667	11.14	1.201726	33.3	0	1031.6	25.39166667	3853	tropicalforest
119	T4	10.8	-85.6	8.29	0.7109777	19.8	0	711	25.05	1737	tropicalforest
120	T5	18.016667	-66.083333	9.99	0.91	27	0	1455.2	23.79166667	1633	tropicalforest
121	T6	18.016667	-66.083333	9.78	0.88	29	0	1455.2	23.79166667	1633	tropicalforest
122	T7	18.016667	-66.083333	10.69	0.9	30	0	1455.2	23.79166667	1633	tropicalforest
123	T8	18.016667	-66.083333	10.91	0.87	36	0	1455.2	23.79166667	1633	tropicalforest
124	T9	10.433333	-83.983333	17.9564	1.44635	77.55	0	987.2	26.05	3997	tropicalforest
125	BT1	8.9769	-79.5640	9.47	0.80	51.9	0	555	26.95	1865	tropicalforest
126	BT10	9.1247	-79.9048	8.23	0.70	67.3	0	894.4	26.575	2431	tropicalforest
127	BT100	38.88784525	-76.56385414	12.11	0.82	30.0	0	672.2	13.14167	1071	temperateforest
128	BT101	2.9795	102.30894	6.28	0.52	34.47	1	883.9	26.35	1978	tropicalforest
129	BT102	2.98464	102.31128	8.01	0.80	40.26	1	866.3	26.35	1978	tropicalforest
130	BT103	-43.59247413	169.821659	4.99	0.45	0.80	0	1561	10.44167	4268	temperateforest
131	BT104	-43.57663824	169.8131869	7.83	0.53	1.28	0	701.1	11.94167	4144	temperateforest
132	BT105	-43.58337164	169.8173651	7.75	0.55	0.95	0	592.3	10.44167	4268	temperateforest
