sample,trt,block,pot,days,no3,nh4,faa,tdn,doc
15NSS_406,H,4,47,35,0.34,0.1,0.114,5.45,116.55
15NSS_407,H,5,59,35,0.58,0.11,0.147,12.13,212.23
15NSS_408,H,6,65,35,1.23,0.1,0.13,35.21,137.55
15NSS_409,I,1,3,35,0.66,0.1,0.105,8.79,140.33
15NSS_410,I,2,20,35,0.42,0.1,0.073,4.49,86.22
15NSS_411,I,3,25,35,2.04,0.1,0.094,8.81,109.61
15NSS_412,I,4,48,35,2.44,0.1,0.066,5.45,77.9
15NSS_413,I,5,50,35,0.94,0.1,0.153,10.7,177.99
15NSS_414,I,6,72,35,0.94,0.11,0.111,9.64,144.35
15NSS_415,J,1,12,35,1.01,0.1,0.105,9.27,129.43
15NSS_416,J,2,18,35,0.82,0.1,0.092,9.27,129.43
15NSS_417,J,3,36,35,0.94,0.1,0.084,7.36,107.63
15NSS_418,J,4,46,35,0.22,0.1,0.049,3.06,76.71
15NSS_419,J,5,60,35,0.78,0.1,0.105,11.27,149.2
15NSS_420,J,6,69,35,1.89,0.1,0.133,12.59,152.11
15NSS_421,K,1,5,35,0.94,0.1,0.124,13.09,180.96
15NSS_422,K,2,21,35,3.15,0.11,0.135,15.48,177
15NSS_423,K,3,33,35,0.9,0.1,0.108,11.18,163.12
15NSS_424,K,4,37,35,1.05,0.1,0.05,3.7,49.06
15NSS_425,K,5,52,35,9.89,0.1,0.147,17.39,114.57
15NSS_426,K,6,66,35,0.74,0.11,0.065,4.23,74.57
15NSS_427,L,1,4,35,0.38,0.1,0.16,21.21,330.46
15NSS_428,L,2,16,35,0.58,0.1,0.096,7.83,126.46
15NSS_429,L,3,34,35,0.22,0.1,0.073,6.75,113.57
15NSS_430,L,4,45,35,0.42,0.1,0.086,7.83,167.09
15NSS_431,L,5,49,35,0.22,0.1,0.046,1.15,45.59
15NSS_432,L,6,67,35,0.42,0.1,0.082,6.69,118.14
15NSS_433,A,1,11,42,0.08,0.13,0.087,9.89,133.69
15NSS_434,A,2,24,42,0.08,0.13,0.07,3.6,61.32
15NSS_435,A,3,30,42,0.08,0.12,0.039,2.91,59.24
15NSS_436,A,4,42,42,0.08,0.13,0.092,7.93,121.74
15NSS_437,A,5,53,42,0.08,0.12,0.056,4.98,65.69
15NSS_438,A,6,68,42,0.08,0.12,0.053,4.59,75.22
15NSS_439,B,1,9,42,0.08,0.13,0.12,12.75,179.9
15NSS_440,B,2,13,42,0.08,0.12,0.311,60.25,742.62
15NSS_441,B,3,28,42,0.08,0.13,0.105,11.27,156.72
15NSS_442,B,4,38,42,0.08,0.13,0.119,11.66,160.93
15NSS_443,B,5,58,42,0.08,0.13,0.149,17.13,211.02
15NSS_444,B,6,70,42,0.08,0.13,0.051,5.27,64.02
15NSS_445,C,1,10,42,0.08,0.13,0.109,10.58,155.03
15NSS_446,C,2,15,42,0.08,0.12,0.062,5.07,76.13
15NSS_447,C,3,32,42,0.08,0.13,0.161,24.15,309.86
15NSS_448,C,4,40,42,0.08,0.13,0.066,5.66,83.17
15NSS_449,C,5,55,42,0.08,0.12,0.084,5.65,85.46
15NSS_450,C,6,64,42,0.08,0.13,0.184,6.14,81.93
15NSS_451,D,1,6,42,0.08,0.13,0.063,5.86,89
15NSS_452,D,2,22,42,0.08,0.12,0.068,5.27,84.95
15NSS_453,D,3,26,42,0.08,0.12,0.038,3.3,48.75
15NSS_454,D,4,43,42,0.08,0.12,0.058,4.58,65.85
15NSS_455,D,5,56,42,0.09,0.13,0.106,11.53,139.28
15NSS_456,D,6,62,42,0.08,0.13,0.087,9.22,126.05
15NSS_457,E,1,2,42,0.08,0.12,0.072,7.93,108.55
15NSS_458,E,2,17,42,0.08,0.13,0.061,5.86,85.82
15NSS_459,E,3,35,42,0.08,0.12,0.031,1.83,29.27
15NSS_460,E,4,41,42,0.08,0.13,0.056,4.09,72.44
15NSS_461,E,5,57,42,0.08,0.12,0.065,6.43,82.81
15NSS_462,E,6,71,42,0.08,0.13,0.064,6.62,90.75
15NSS_463,F,1,1,42,0.08,0.13,0.08,7.44,113.47
15NSS_464,F,2,14,42,0.08,0.12,0.103,10.29,127.58
15NSS_465,F,3,27,42,0.08,0.13,0.063,5.07,80.84
15NSS_466,F,4,44,42,0.08,0.12,0.037,2.91,50.13
15NSS_467,F,5,54,42,0.08,0.12,0.043,3.92,49.1
15NSS_468,F,6,63,42,0.08,0.13,0.063,5.46,81.93
15NSS_469,G,1,7,42,0.08,0.13,0.064,5.37,76.14
15NSS_470,G,2,23,42,0.08,0.12,0.059,4.58,71.07
15NSS_471,G,3,31,42,0.08,0.13,0.073,6.75,90.49
15NSS_472,G,4,39,42,0.08,0.12,0.087,6.84,103.32
15NSS_473,G,5,51,42,0.08,0.13,0.053,4.5,54.49
15NSS_474,G,6,61,42,0.08,0.13,0.073,5.75,75.75
15NSS_475,H,1,8,42,0.08,0.13,0.15,16.29,223.83
15NSS_476,H,2,19,42,0.08,0.13,0.129,11.27,169.03
15NSS_477,H,3,29,42,0.08,0.13,0.088,6.55,103.86
15NSS_478,H,4,47,42,0.08,0.13,0.085,6.45,94.9
15NSS_479,H,5,59,42,0.08,0.12,0.079,5.94,89.87
15NSS_480,H,6,65,42,0.08,0.13,0.102,7,112.81
15NSS_481,I,1,3,42,0.08,0.13,0.076,7.73,106.52
15NSS_482,I,2,20,42,0.08,0.13,0.089,10.48,147.31
15NSS_483,I,3,25,42,0.08,0.13,0.088,8.03,115.48
15NSS_484,I,4,48,42,0.08,0.13,0.063,4.98,68.7
15NSS_485,I,5,50,42,0.08,0.12,0.059,4.79,68.89
15NSS_486,I,6,72,42,0.08,0.13,0.064,5.65,69.57
15NSS_487,J,1,12,42,0.08,0.13,0.079,7.04,101.42
15NSS_488,J,2,18,42,0.08,0.12,0.05,4.88,66.39
15NSS_489,J,3,36,42,0.08,0.12,0.064,3.99,64.54
15NSS_490,J,4,46,42,0.08,0.13,0.067,7.34,107.63
15NSS_491,J,5,60,42,0.08,0.12,0.084,6.62,78.4
15NSS_492,J,6,69,42,0.08,0.13,0.067,6.52,81.05
15NSS_493,K,1,5,42,0.08,0.13,0.069,6.06,89.1
15NSS_494,K,2,21,42,0.08,0.13,0.094,9.8,123.48
15NSS_495,K,3,33,42,0.08,0.12,0.069,6.06,85.69
15NSS_496,K,4,37,42,0.08,0.12,0.046,3.11,46.01
15NSS_497,K,5,52,42,0.08,0.12,0.065,6.71,79.28
15NSS_498,K,6,66,42,0.08,0.13,0.066,6.23,89.87
15NSS_499,L,1,4,42,0.08,0.13,0.086,8.32,116.91
15NSS_500,L,2,16,42,0.08,0.13,0.05,3.7,60.72
15NSS_501,L,3,34,42,0.08,0.12,0.042,3.21,51.76
15NSS_502,L,4,45,42,0.08,0.13,0.065,5.17,79.05
15NSS_503,L,5,49,42,0.08,0.13,0.025,1.34,23.06
15NSS_504,L,6,67,42,0.08,0.12,0.051,4.3,62.96
15NSS_505,A,1,11,48,0.09,0.11,0.117,15.2,203.7
15NSS_506,A,2,24,48,0.09,0.11,0.039,3.92,60.06
15NSS_507,A,3,30,48,0.09,0.1,0.056,3.34,70.86
15NSS_508,A,4,42,48,0.09,0.1,0.068,6.33,90.86
15NSS_509,A,5,53,48,0.09,0.11,0.064,5.22,76.9
15NSS_510,A,6,68,48,0.09,0.11,0.055,4.83,68.09
15NSS_511,B,1,9,48,0.09,0.11,0.163,16.64,229.32
15NSS_512,B,2,13,48,0.09,0.1,0.346,72.08,921.08
15NSS_513,B,3,28,48,0.09,0.11,0.135,15.01,201.87
15NSS_514,B,4,38,48,0.09,0.11,0.209,33.52,408.57
15NSS_515,B,5,58,48,0.09,0.1,0.162,17.22,222
15NSS_516,B,6,70,48,0.09,0.12,0.102,12.83,180.99
15NSS_517,C,1,10,48,0.09,0.11,0.1,10.19,148.41
15NSS_518,C,2,15,48,0.09,0.1,0.053,4.59,81.3
15NSS_519,C,3,32,48,0.09,0.1,0.197,29.47,408.57
15NSS_520,C,4,40,48,0.09,0.1,0.063,5.65,88.88
15NSS_521,C,5,55,48,0.09,0.11,0.049,4.05,65.51
15NSS_522,C,6,64,48,0.09,0.11,0.035,2.97,41.64
15NSS_523,D,1,6,48,0.09,0.11,0.089,9.32,133.39
15NSS_524,D,2,22,48,0.09,0.1,0.037,2.86,51.55
15NSS_525,D,3,26,48,0.09,0.11,0.027,2.18,31.74
15NSS_526,D,4,43,48,0.09,0.1,0.044,3.85,48.28
15NSS_527,D,5,56,48,0.09,0.11,0.124,13.8,177.03
15NSS_528,D,6,62,48,0.09,0.12,0.083,9.31,133.45
15NSS_529,E,1,2,48,0.09,0.1,0.1,10.38,133.18
15NSS_530,E,2,17,48,0.09,0.1,0.104,5.27,81.15
15NSS_531,E,3,35,48,0.09,0.1,0.047,4.01,62.24
15NSS_532,E,4,41,48,0.09,0.11,0.054,2.67,46
15NSS_533,E,5,57,48,0.09,0.1,0.056,4.44,63.93
15NSS_534,E,6,71,48,0.09,0.12,0.048,4.73,72.34
15NSS_535,F,1,1,48,0.09,0.11,0.059,5.85,83.44
15NSS_536,F,2,14,48,0.09,0.1,0.216,31.2,403.21
15NSS_537,F,3,27,48,0.09,0.11,0.067,6.04,88.88
15NSS_538,F,4,44,48,0.09,0.1,0.025,2,30.65
15NSS_539,F,5,54,48,0.09,0.11,0.028,2.09,25.3
15NSS_540,F,6,63,48,0.09,0.11,0.047,3.26,62.44
15NSS_541,G,1,7,48,0.09,0.11,0.049,4.21,59.56
15NSS_542,G,2,23,48,0.09,0.1,0.027,2.18,37.18
15NSS_543,G,3,31,48,0.09,0.1,0.054,4.3,63.93
15NSS_544,G,4,39,48,0.09,0.11,0.056,3.34,61.25
15NSS_545,G,5,51,48,0.09,0.12,0.046,3.75,58.48
15NSS_546,G,6,61,48,0.09,0.11,0.054,4.83,69.77
15NSS_547,H,1,8,48,0.09,0.11,0.131,10.76,162.36
15NSS_548,H,2,19,48,0.09,0.11,0.109,9.03,145.34
15NSS_549,H,3,29,48,0.09,0.11,0.08,5.75,95.82
15NSS_550,H,4,47,48,0.09,0.11,0.052,3.85,57.39
15NSS_551,H,5,59,48,0.09,0.1,0.071,4.83,80.86
15NSS_552,H,6,65,48,0.09,0.11,0.069,4.05,71.35
15NSS_553,I,1,3,48,,,,0,
15NSS_554,I,2,20,48,0.09,0.1,0.057,4.88,75.61
15NSS_555,I,3,25,48,0.09,0.11,0.046,4.01,62.34
15NSS_556,I,4,48,48,0.09,0.11,0.03,2.58,48.28
15NSS_557,I,5,50,48,0.09,0.12,0.039,3.17,49.66
15NSS_558,I,6,72,48,0.09,0.12,0.051,5.02,65.61
15NSS_559,J,1,12,48,0.09,0.11,0.07,7.49,102.67
15NSS_560,J,2,18,48,0.09,0.1,0.066,6.81,92.91
15NSS_561,J,3,36,48,0.09,0.1,0.04,3.34,54.71
15NSS_562,J,4,46,48,0.09,0.11,0.041,4.34,50.16
15NSS_563,J,5,60,48,0.09,0.1,0.065,6.68,97.8
15NSS_564,J,6,69,48,0.09,0.12,0.076,6.19,80.27
15NSS_565,K,1,5,48,0.09,0.11,0.05,4.11,67.07
15NSS_566,K,2,21,48,,0.11,,12.11,162.17
15NSS_567,K,3,33,48,0.1,0.1,0.055,4.5,59.67
15NSS_568,K,4,37,48,0.09,0.1,0.023,1.99,22.82
15NSS_569,K,5,52,48,0.09,0.12,0.08,7.75,104.73
15NSS_570,K,6,66,48,0.09,0.11,0.035,2.39,28.37
15NSS_571,L,1,4,48,0.09,0.11,0.075,6.81,100.66
15NSS_572,L,2,16,48,0.09,0.1,0.041,2.86,44.23
15NSS_573,L,3,34,48,0.09,0.1,0.045,3.92,62.24
15NSS_574,L,4,45,48,0.09,0.11,0.066,6.49,94.83
15NSS_575,L,5,49,48,0.09,0.12,0.027,2.09,27.58
15NSS_576,L,6,67,48,0.09,0.11,0.046,4.14,56.79
