sample,trt,block,pot,days,no3,nh4,faa,tdn,doc
15NSS_099,E,3,35,7,67.05,0.3,0.262,73.71,157.9
15NSS_100,E,4,41,7,87.89,0.14,0.162,91.1,164.1
15NSS_101,E,5,57,7,158.67,0.28,0.256,183.3,184.51
15NSS_102,E,6,71,7,132.61,0.15,0.177,131.69,171.6
15NSS_103,F,1,1,7,97.98,0.16,0.21,120.33,196.16
15NSS_104,F,2,14,7,133.96,0.16,0.179,146.19,141.97
15NSS_105,F,3,27,7,82.18,0.25,0.293,90.52,158.83
15NSS_106,F,4,44,7,62,0.13,0.164,65.01,196.3
15NSS_107,F,5,54,7,139,0.18,0.218,182.72,181.76
15NSS_108,F,6,63,7,163.1,0.16,0.204,169.96,186.74
15NSS_109,G,1,7,7,126.22,0.14,0.16,144.29,162.61
15NSS_110,G,2,23,7,133.96,0.13,0.149,158.36,160.82
15NSS_111,G,3,31,7,139.33,0.14,0.146,131.11,161.02
15NSS_112,G,4,39,7,159.04,0.14,0.172,152.57,164.98
15NSS_113,G,5,51,7,101.01,0.15,0.171,105.6,162.58
15NSS_114,G,6,61,7,74.78,0.14,0.185,78.92,215.42
15NSS_115,H,1,8,7,107.39,0.15,0.168,110.85,155.29
15NSS_116,H,2,19,7,113.45,0.13,0.172,121.83,185.4
15NSS_117,H,3,29,7,110.08,0.14,0.207,118.35,194.39
15NSS_118,H,4,47,7,108.07,0.18,0.267,114.3,190.57
15NSS_119,H,5,59,7,126.56,0.14,0.192,120.67,232.62
15NSS_120,H,6,65,7,127.23,0.27,0.309,174.6,181.4
15NSS_121,I,1,3,7,56.62,0.14,0.13,58.46,131.2
15NSS_122,I,2,20,7,130.93,0.13,0.146,157.78,150.21
15NSS_123,I,3,25,7,186.74,0.18,0.206,243.02,158.09
15NSS_124,I,4,48,7,134.96,0.17,0.203,134.59,198.22
15NSS_125,I,5,50,7,140.01,0.14,0.187,151.41,192.48
15NSS_126,I,6,72,7,69.74,0.14,0.123,83.56,107.73
15NSS_127,J,1,12,7,192.28,0.17,0.162,179.24,150.58
15NSS_128,J,2,18,7,80.5,0.14,0.152,109.66,137.74
15NSS_129,J,3,36,7,198.93,0.25,0.229,198.95,148.61
15NSS_130,J,4,46,7,147.4,0.15,0.178,164.16,160.77
15NSS_131,J,5,60,7,167.91,0.15,0.197,169.96,202.04
15NSS_132,J,6,69,7,136.98,0.14,0.154,133.43,146.56
15NSS_133,K,1,5,7,130.26,0.14,0.165,144.85,155.88
15NSS_134,K,2,21,7,137.99,0.19,0.194,176.34,164.72
15NSS_135,K,3,33,7,138.66,0.29,0.301,149.09,164.01
15NSS_136,K,4,37,7,127.23,0.17,0.209,132.85,158.61
15NSS_137,K,5,52,7,142.02,0.15,0.182,154.31,192.48
15NSS_138,K,6,66,7,133.28,0.13,0.151,128.79,154.95
15NSS_139,L,1,4,7,78.82,0.13,0.138,86.33,175.15
15NSS_140,L,2,16,7,138.66,0.13,0.114,159.52,117.01
15NSS_141,L,3,34,7,85.54,0.13,0.095,81.82,112.58
15NSS_142,L,4,45,7,74.11,0.15,0.148,94,182.25
15NSS_143,L,5,49,7,99.66,0.13,0.1,92.84,105.6
15NSS_144,L,6,67,7,86.88,0.13,0.123,106.76,159.58
15NSS_145,A,1,11,14,151.28,0.13,0.156,185.4,150.8
15NSS_146,A,2,24,14,217.03,0.13,0.179,244.48,183.99
15NSS_147,A,3,30,14,86.64,0.13,0.191,103.22,169.27
15NSS_148,A,4,42,14,140.57,0.14,0.153,166.38,116.57
15NSS_149,A,5,53,14,53.47,0.13,0.174,74.02,185.15
15NSS_150,A,6,68,14,95.88,0.19,0.201,124.28,164.16
15NSS_151,B,1,9,14,137.25,0.13,0.135,160.27,153.86
15NSS_152,B,2,13,14,89.23,0.13,0.115,95.75,101.33
15NSS_153,B,3,28,14,47.22,0.13,0.142,60.44,138.12
15NSS_154,B,4,38,14,50.64,0.13,0.127,65.19,113.92
15NSS_155,B,5,58,14,49.6,0.12,0.191,71.99,187.26
15NSS_156,B,6,70,14,76.67,0.13,0.121,76.21,122.29
15NSS_157,C,1,10,14,95.88,0.13,0.133,119.52,144.35
15NSS_158,C,2,15,14,114.35,0.13,0.157,133.78,167.09
15NSS_159,C,3,32,14,115.45,0.13,0.123,122.24,110.21
15NSS_160,C,4,40,14,127.27,0.13,0.162,156.19,143.52
15NSS_161,C,5,55,14,90.71,0.13,0.126,111.37,129.12
15NSS_162,C,6,64,14,183.42,0.13,0.194,230.89,203.95
15NSS_163,D,1,6,14,117.67,0.13,0.146,131.07,170.16
15NSS_164,D,2,22,14,132.45,0.13,0.124,146.69,171.59
15NSS_165,D,3,26,14,130.6,0.13,0.162,156.19,130.63
15NSS_166,D,4,43,14,123.21,0.13,0.13,136.5,122.12
15NSS_167,D,5,56,14,239.93,0.13,0.137,299.48,131.95
15NSS_168,D,6,62,14,107.7,0.15,0.125,135.14,108.18
15NSS_169,E,1,2,14,107.33,0.13,0.135,124.73,106.64
15NSS_170,E,2,17,14,127.27,0.13,0.157,152.8,172.61
15NSS_171,E,3,35,14,37.85,0.13,0.149,44.82,130.14
15NSS_172,E,4,41,14,85.9,0.13,0.137,105.26,111
15NSS_173,E,5,57,14,157.19,0.13,0.125,203.73,185.6
15NSS_174,E,6,71,14,170.86,0.13,0.159,154.48,163.29
15NSS_175,F,1,1,14,70.13,0.13,0.128,96.32,138.14
15NSS_176,F,2,14,14,148.33,0.13,0.165,179.96,130.7
15NSS_177,F,3,27,14,106.96,0.15,0.183,126.99,133.39
15NSS_178,F,4,44,14,60.02,0.13,0.15,74.7,126.69
15NSS_179,F,5,54,14,246.58,0.13,0.15,325.29,153.42
15NSS_180,F,6,63,14,188.96,0.13,0.16,237.69,180.29
15NSS_181,G,1,7,14,124.32,0.13,0.147,140.57,157.47
15NSS_182,G,2,23,14,249.91,0.13,0.199,294.05,286.15
15NSS_183,G,3,31,14,247.32,0.13,0.183,262.81,198.22
15NSS_184,G,4,39,14,283.3,0.13,0.212,334.32,224.98
15NSS_185,G,5,51,14,108.07,0.13,0.121,130.39,134.46
15NSS_186,G,6,61,14,41.42,0.14,0.127,58.4,128.89
15NSS_187,H,1,8,14,193.39,0.23,0.225,229.54,173.73
15NSS_188,H,2,19,14,139.09,0.13,0.144,156.87,136.68
15NSS_189,H,3,29,14,171.23,0.13,0.203,194.22,155.7
15NSS_190,H,4,47,14,59.42,0.16,0.211,76.74,149.83
15NSS_191,H,5,59,14,114.72,0.13,0.175,143.29,182.72
15NSS_192,H,6,65,14,396.06,0.28,0.628,487.41,398.93
15NSS_193,I,1,3,14,94.77,0.13,0.141,98.47,141.86
15NSS_194,I,2,20,14,180.83,0.13,0.136,196.94,141.49
15NSS_195,I,3,25,14,266.9,0.13,0.169,310.35,182.68
15NSS_196,I,4,48,14,221.1,0.13,0.225,288.62,166.67
15NSS_197,I,5,50,14,125.43,0.13,0.143,143.29,117.85
15NSS_198,I,6,72,14,114.72,0.13,0.146,117.65,110.24
15NSS_199,J,1,12,14,441.93,0.16,0.234,474.43,276.59
15NSS_200,J,2,18,14,115.45,0.13,0.133,131.75,126.79
15NSS_201,J,3,36,14,325.35,0.15,0.198,337.78,207.77
15NSS_202,J,4,46,14,173.82,0.13,0.149,203.05,148.19
15NSS_203,J,5,60,14,236.61,0.13,0.188,302.2,194.39
15NSS_204,J,6,69,14,201.52,0.13,0.131,203.6,115.53
